Date : 2022-02-10 22:06:21
Directory : c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder
Total : 717 files,  144307 codes, 26065 comments, 18386 blanks, all 188758 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\exampleAthletes.sql                                                      | SQL                |      2,002 |          0 |          1 |      2,003 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\files.cjs                                                                | JavaScript         |         44 |          5 |          2 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\findRoom.js                                                              | JavaScript         |         38 |         14 |         11 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\imp.js                                                                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\locales\de.js                                                            | JavaScript         |        385 |          0 |          0 |        385 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\locales\en.js                                                            | JavaScript         |         73 |          0 |          0 |         73 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\locales\fr.js                                                            | JavaScript         |         30 |          0 |          0 |         30 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\locales\it.js                                                            | JavaScript         |         30 |          0 |          0 |         30 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\logger.cjs                                                               | JavaScript         |         18 |         40 |         12 |         70 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsAthletica2Admin\baseaccount.js                                     | JavaScript         |         55 |          0 |          2 |         57 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsAthletica2Admin\baseathletes.js                                    | JavaScript         |        119 |          0 |          2 |        121 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsAthletica2Admin\init-models.js                                     | JavaScript         |         32 |          9 |          5 |         46 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsAthletica2Admin\meetings.js                                        | JavaScript         |         85 |          2 |          2 |         89 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsAthletica2Admin\meetingsMod.js                                     | JavaScript         |         85 |          2 |          2 |         89 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsAthletica2Admin\users.js                                           | JavaScript         |         52 |          0 |          2 |         54 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsAthletica2Admin\usersgroups.js                                     | JavaScript         |         38 |          0 |          2 |         40 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsAthletica2Admin\usersmeetings.js                                   | JavaScript         |         49 |          0 |          2 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\athletes.js                                          | JavaScript         |        101 |          0 |          2 |        103 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\basedisciplinelocalizations.js                       | JavaScript         |         65 |          0 |          2 |         67 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\basedisciplines.js                                   | JavaScript         |         59 |          0 |          2 |         61 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\categories.js                                        | JavaScript         |         84 |          0 |          2 |         86 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\clubs.js                                             | JavaScript         |         71 |          0 |          2 |         73 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\combinedevents.js                                    | JavaScript         |         66 |          0 |          2 |         68 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\competitions.js                                      | JavaScript         |         43 |          0 |          2 |         45 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\contest_high.js                                      | JavaScript         |         36 |          0 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\contests.js                                          | JavaScript         |         72 |          0 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\contests_tech.js                                     | JavaScript         |         61 |          0 |          2 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\contests_track.js                                    | JavaScript         |         41 |          0 |          2 |         43 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\conversionparams.js                                  | JavaScript         |         58 |          0 |          2 |         60 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\conversions.js                                       | JavaScript         |         46 |          0 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\countries.js                                         | JavaScript         |         35 |          0 |          2 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\disciplinelocalizations.js                           | JavaScript         |         56 |          0 |          2 |         58 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\disciplines.js                                       | JavaScript         |         73 |          0 |          2 |         75 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\disciplinesonsite.js                                 | JavaScript         |         42 |          0 |          2 |         44 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\eventgroups.js                                       | JavaScript         |         52 |          0 |          2 |         54 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\events.js                                            | JavaScript         |         95 |          0 |          2 |         97 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\groups.js                                            | JavaScript         |         74 |          0 |          2 |         76 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\heightincreases.js                                   | JavaScript         |         53 |          0 |          2 |         55 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\heights.js                                           | JavaScript         |         51 |          0 |          2 |         53 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\init-models.js                                       | JavaScript         |        265 |          0 |          4 |        269 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\inscriptions.js                                      | JavaScript         |         47 |          0 |          2 |         49 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\meetings.js                                          | JavaScript         |         85 |          0 |          2 |         87 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\modules.js                                           | JavaScript         |         48 |          0 |          2 |         50 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\regions.js                                           | JavaScript         |         55 |          0 |          2 |         57 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\relayathletepositions.js                             | JavaScript         |         57 |          0 |          2 |         59 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\relayathletes.js                                     | JavaScript         |         58 |          0 |          2 |         60 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\relays.js                                            | JavaScript         |        100 |          0 |          2 |        102 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\resultshigh.js                                       | JavaScript         |         72 |          0 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\resultstech.js                                       | JavaScript         |         54 |          0 |          2 |         56 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\resultstechwind.js                                   | JavaScript         |         60 |          0 |          2 |         62 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\resultstrack.js                                      | JavaScript         |         44 |          0 |          2 |         46 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\rounds.js                                            | JavaScript         |         75 |          0 |          2 |         77 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\series.js                                            | JavaScript         |         72 |          0 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\series_track.js                                      | JavaScript         |         46 |          0 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\seriesstarts_high.js                                 | JavaScript         |         35 |          0 |          2 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\seriesstarts_track.js                                | JavaScript         |         33 |          0 |          2 |         35 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\seriesstartsresults.js                               | JavaScript         |         87 |          0 |          2 |         89 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\sites.js                                             | JavaScript         |         41 |          0 |          2 |         43 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\sites_track.js                                       | JavaScript         |         54 |          0 |          2 |         56 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\starts.js                                            | JavaScript         |         92 |          0 |          2 |         94 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\startsingroup.js                                     | JavaScript         |         79 |          0 |          2 |         81 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\teaminscriptions.js                                  | JavaScript         |         46 |          0 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\modelsMeetingDefine\teams.js                                             | JavaScript         |         67 |          0 |          2 |         69 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\mysqldump.sql                                                            | SQL                |        388 |        125 |         82 |        595 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\package-lock.json                                                        | JSON               |      8,453 |          0 |          1 |      8,454 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\package.json                                                             | JSON               |         50 |          0 |          1 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\pages.cjs                                                                | JavaScript         |         98 |         60 |          7 |        165 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rAthletes.js                                                             | JavaScript         |        121 |         55 |         51 |        227 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rBackup.js                                                               | JavaScript         |        475 |        183 |        166 |        824 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rCategories.js                                                           | JavaScript         |        121 |         56 |         51 |        228 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rClubs.js                                                                | JavaScript         |        133 |         62 |         54 |        249 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rClubsOLD.js                                                             | JavaScript         |        121 |         55 |         51 |        227 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rContestTechHigh.js                                                      | JavaScript         |        530 |        188 |        145 |        863 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rContests.js                                                             | JavaScript         |        165 |         73 |         59 |        297 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rContestsOverview.js                                                     | JavaScript         |        111 |         52 |         32 |        195 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rDisciplines.cjs                                                         | JavaScript         |          0 |          7 |          2 |          9 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rDisciplines.js                                                          | JavaScript         |        161 |         78 |         60 |        299 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rDisciplinesOLD.js                                                       | JavaScript         |        121 |         56 |         49 |        226 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rEventGroups.js                                                          | JavaScript         |        463 |        192 |        125 |        780 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rEvents.js                                                               | JavaScript         |        196 |         81 |         63 |        340 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rEventsNoAux.js                                                          | JavaScript         |        139 |         82 |         57 |        278 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rInscriptions.js                                                         | JavaScript         |        245 |        135 |         66 |        446 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rMeeting.js                                                              | JavaScript         |        134 |         87 |         52 |        273 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rMeetings - 2020-05-05.cjs                                               | JavaScript         |        269 |        176 |        112 |        557 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rMeetings.js                                                             | JavaScript         |        610 |        370 |        237 |      1,217 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rRegions.js                                                              | JavaScript         |        121 |         56 |         51 |        228 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rSideChannel.js                                                          | JavaScript         |        133 |        118 |         60 |        311 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rSideChannelClient.js                                                    | JavaScript         |         24 |         38 |         17 |         79 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rStartInGroup.js                                                         | JavaScript         |        647 |        288 |        196 |      1,131 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rStarts.js                                                               | JavaScript         |        149 |         73 |         56 |        278 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rTemplateClientOnlineOnly.js                                             | JavaScript         |         33 |         16 |         14 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rTemplateClientOnlineOnlyAux.js                                          | JavaScript         |         33 |         16 |         14 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rTemplateData.json                                                       | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rTemplateServerOnlineOnly.js                                             | JavaScript         |        127 |         55 |         47 |        229 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rTemplateServerOnlineOnlyAux.js                                          | JavaScript         |        129 |         61 |         50 |        240 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rUsersServer.cjs                                                         | JavaScript         |        168 |        155 |         82 |        405 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rdMeetings1.js                                                           | JavaScript         |        106 |         53 |         48 |        207 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\roomClientForServer.js                                                   | JavaScript         |        624 |        422 |        251 |      1,297 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\roomDataset.js                                                           | JavaScript         |        217 |        169 |         79 |        465 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\roomServer - 2019-12-06.cjs                                              | JavaScript         |        726 |        462 |        222 |      1,410 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\roomServer - 2020-11-28 vor EnterProcess change.cjs                      | JavaScript         |        824 |        610 |        260 |      1,694 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\roomServer - 2020-12-22 pre server2server.js                             | JavaScript         |      1,084 |        955 |        360 |      2,399 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\roomServer.js                                                            | JavaScript         |      1,157 |      1,016 |        391 |      2,564 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\roomView.cjs                                                             | JavaScript         |         78 |        123 |         49 |        250 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\rvMeetings1.cjs                                                          | JavaScript         |         23 |         22 |         22 |         67 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\sequelize-auto-import-mod index.cjs                                      | JavaScript         |        178 |         26 |         41 |        245 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\sequelize-mod.cjs                                                        | JavaScript         |         13 |         11 |          4 |         28 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\sequelize-mod.js                                                         | JavaScript         |         12 |          9 |          4 |         25 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\serverWsExtensionExample.cjs                                             | JavaScript         |         39 |         27 |         26 |         92 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\serviceWorkerTest.html                                                   | HTML               |         19 |         18 |          4 |         41 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\SocketProcessorBackup 2019-04-22.js                               | JavaScript         |         93 |         84 |         55 |        232 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Sortable.min.js                                                   | JavaScript         |          1 |          1 |          1 |          3 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\UpdateData.js                                                     | JavaScript         |      6,655 |         33 |         14 |      6,702 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\VTableComponent.js                                                | JavaScript         |        687 |         10 |         67 |        764 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\VTableComponent2.js                                               | JavaScript         |        725 |         40 |         70 |        835 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\.circleci\config.yml                         | YAML               |         18 |         12 |         10 |         40 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\.github\issue_template.md                    | Markdown           |          5 |          0 |          5 |         10 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\CONTRIBUTING.md                              | Markdown           |         16 |          0 |         16 |         32 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\README.md                                    | Markdown           |        303 |          3 |         82 |        388 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\babel.config.js                              | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\dist\demo.html                               | HTML               |          7 |          0 |          4 |         11 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\dist\vuedraggable.common.js                  | JavaScript         |      2,309 |        209 |        743 |      3,261 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\dist\vuedraggable.umd.js                     | JavaScript         |      2,319 |        209 |        743 |      3,271 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\dist\vuedraggable.umd.min.js                 | JavaScript         |          1 |          1 |          0 |          2 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\docs\app.js                                  | JavaScript         |      2,865 |      1,956 |      1,420 |      6,241 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\docs\img\fontawesome-webfont.912ec66d.svg    | XML                |      2,671 |          0 |          1 |      2,672 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\docs\img\logo.c6a3753c.svg                   | XML                |         12 |          0 |          1 |         13 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\docs\index.html                              | HTML               |         16 |          1 |          1 |         18 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\documentation\Vue.draggable.for.ReadME.md    | Markdown           |         47 |          0 |         14 |         61 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\documentation\legacy.options.md              | Markdown           |          7 |          0 |          3 |         10 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\documentation\migrate.md                     | Markdown           |         38 |          6 |         25 |         69 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\example\assets\logo.svg                      | XML                |         12 |          0 |          1 |         13 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\example\components\nested\nested-store.js    | JavaScript         |         46 |          0 |          3 |         49 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\example\main.js                              | JavaScript         |         22 |          0 |          5 |         27 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\example\route.js                             | JavaScript         |          9 |          0 |          3 |         12 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\example\store.js                             | JavaScript         |         10 |          0 |          3 |         13 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\jest.config.js                               | JavaScript         |         20 |         11 |          0 |         31 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\logo.svg                                     | XML                |         12 |          0 |          1 |         13 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\package-lock.json                            | JSON               |     14,732 |          0 |          1 |     14,733 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\package.json                                 | JSON               |         86 |          7 |          0 |         93 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\public\index.html                            | HTML               |         16 |          1 |          1 |         18 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\src\util\helper.js                           | JavaScript         |         31 |          0 |          6 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\src\vuedraggable.js                          | JavaScript         |        424 |          2 |         60 |        486 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\tests\unit\.eslintrc.js                      | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\tests\unit\helper\FakeComponent.js           | JavaScript         |         10 |          0 |          0 |         10 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\tests\unit\helper\FakeFunctionalComponent.js | JavaScript         |         13 |          0 |          0 |         13 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\tests\unit\util\helper.node.spec.js          | JavaScript         |         15 |          3 |          3 |         21 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\tests\unit\util\helper.spec.js               | JavaScript         |         31 |          0 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\tests\unit\vuedraggable.integrated.spec.js   | JavaScript         |         68 |          0 |         13 |         81 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\tests\unit\vuedraggable.script.tag.spec.js   | JavaScript         |          9 |          0 |          1 |         10 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\tests\unit\vuedraggable.spec.js              | JavaScript         |      1,103 |          2 |        138 |      1,243 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\tests\unit\vuedraggable.ssr.spec.js          | JavaScript         |         21 |          3 |          4 |         28 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\Vue.Draggable-master\vue.config.js                                | JavaScript         |         19 |          0 |          2 |         21 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\adminClient.js                                                    | JavaScript         |          2 |          1 |          2 |          5 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\ajv.min.js                                                        | JavaScript         |          1 |          2 |          0 |          3 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\bootstrap.min.css                                                 | CSS                |          1 |          6 |          0 |          7 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\draggableTest.html                                                | HTML               |         44 |        103 |          2 |        149 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\main.js                                                           | JavaScript         |        642 |        558 |        201 |      1,401 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\mainBackupBefore IOkicked.js                                      | JavaScript         |        510 |        376 |        165 |      1,051 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rAthletesClient.js                                                | JavaScript         |         30 |         16 |         17 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rBackupClient.js                                                  | JavaScript         |         33 |         19 |         19 |         71 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rCategoriesClient.js                                              | JavaScript         |         30 |         16 |         17 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rClubsClient.js                                                   | JavaScript         |         58 |         24 |         22 |        104 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rClubsClientOLD.js                                                | JavaScript         |         30 |         16 |         17 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rContestTechHighClient.js                                         | JavaScript         |        305 |         89 |         85 |        479 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rContestsClient.js                                                | JavaScript         |         30 |         16 |         17 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rContestsOverviewClient.js                                        | JavaScript         |          7 |         15 |         11 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rDisciplinesClient.js                                             | JavaScript         |         52 |         61 |         19 |        132 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rDisciplinesClientOLD.js                                          | JavaScript         |         30 |         16 |         14 |         60 |
